//http://www.geomidpoint.com/random/
Latitude: 53°06′24″N   53.10679428
Distance: 74.9464 km  Bearing: 104.954°
Latitude: 53°35′17″N   53.58815366
Longitude: 23°09′16″E   23.15453152
Distance: 50.6908 km  Bearing: 358.932°
Latitude: 53°57′46″N   53.96283042
Longitude: 23°22′04″E   23.36783318
Distance: 93.2873 km  Bearing: 8.024°
Latitude: 52°28′58″N   52.48264352
Longitude: 22°14′50″E   22.24719538
Distance: 95.2052 km  Bearing: 220.975°
Latitude: 53°29′41″N   53.49478776
Longitude: 23°53′25″E   23.89037175
Distance: 62.6308 km  Bearing: 49.665°
Latitude: 53°21′09″N   53.3524303
Longitude: 22°08′45″E   22.14591944
Distance: 72.3474 km  Bearing: 290.172°
Latitude: 53°42′18″N   53.70488919
Longitude: 24°10′40″E   24.17783455
Distance: 92.3384 km  Bearing: 46.007°
Latitude: 52°31′36″N   52.5265333
Longitude: 22°26′44″E   22.44544688
Distance: 83.1 km  Bearing: 216.091°
Latitude: 53°25′36″N   53.4265312
Longitude: 24°08′50″E   24.14710601
Distance: 72.8153 km  Bearing: 62.919°
Latitude: 52°46′23″N   52.77307577
Longitude: 23°52′59″E   23.88314502
Distance: 62.3634 km  Bearing: 129.582°
Latitude: 52°19′16″N   52.32100753
Longitude: 23°11′59″E   23.19998122
Distance: 90.2824 km  Bearing: 178.656°
Latitude: 53°27′55″N   53.4653173
Longitude: 22°51′36″E   22.86002724
Distance: 42.3298 km  Bearing: 331.115°
Latitude: 54°00′59″N   54.01653896
Longitude: 22°54′57″E   22.9159367
Distance: 99.738 km  Bearing: 350.461°
Latitude: 52°32′34″N   52.54268484
Longitude: 24°02′14″E   24.03711626
Distance: 87.7882 km  Bearing: 138.007°
Latitude: 52°31′01″N   52.51683373
Longitude: 23°54′40″E   23.91121426
Distance: 84.7253 km  Bearing: 143.626°
Latitude: 53°07′30″N   53.12494036
Longitude: 22°45′44″E   22.76220602
Distance: 27.1509 km  Bearing: 268.391°
Latitude: 53°16′20″N   53.27215854
Longitude: 23°56′12″E   23.9367084
Distance: 53.4645 km  Bearing: 72.801°
Latitude: 53°21′26″N   53.35735743
Longitude: 24°24′10″E   24.40269609
Distance: 85.8451 km  Bearing: 72.568°
Latitude: 53°43′00″N   53.7166311
Longitude: 23°29′42″E   23.49490978
Distance: 68.4717 km  Bearing: 18.267°
Latitude: 53°25′03″N   53.41758533
Longitude: 24°25′58″E   24.43275701
Distance: 89.8441 km  Bearing: 68.827°
Latitude: 53°13′53″N   53.23150374
Longitude: 21°41′58″E   21.69953129
Distance: 98.5525 km  Bearing: 277.004°
Latitude: 52°36′25″N   52.60707289
Longitude: 22°02′06″E   22.03505442
Distance: 95.9655 km  Bearing: 232.939°
Latitude: 53°55′43″N   53.9286673
Longitude: 23°22′39″E   23.37738974
Distance: 89.6228 km  Bearing: 8.766°
Latitude: 52°44′47″N   52.74649409
Longitude: 22°12′58″E   22.2159922
Distance: 76.958 km  Bearing: 236.473°
Latitude: 53°08′09″N   53.13574713
Longitude: 23°00′17″E   23.0048608
Distance: 10.9483 km  Bearing: 271.963°
Latitude: 53°28′13″N   53.47025222
Longitude: 23°34′13″E   23.57039786
Distance: 46.0845 km  Bearing: 35.232°
Latitude: 52°49′33″N   52.82584496
Longitude: 24°04′51″E   24.08072815
Distance: 69.9471 km  Bearing: 118.819°
Latitude: 52°57′18″N   52.95510318
Longitude: 23°15′54″E   23.26507724
Distance: 20.7529 km  Bearing: 161.897°
Latitude: 53°00′30″N   53.00820944
Longitude: 24°26′39″E   24.44411737
Distance: 86.3374 km  Bearing: 98.703°
Latitude: 52°20′21″N   52.33905302
Longitude: 22°33′30″E   22.55833735
Distance: 97.3576 km  Bearing: 205.224°
Latitude: 52°43′48″N   52.72993547
Longitude: 23°03′14″E   23.05392063
Distance: 45.4325 km  Bearing: 189.81°
Latitude: 52°50′27″N   52.84079982
Longitude: 23°01′30″E   23.02503755
Distance: 33.8421 km  Bearing: 196.588°
Latitude: 53°29′43″N   53.4951869
Longitude: 23°47′18″E   23.78846396
Distance: 57.6429 km  Bearing: 45.337°
Latitude: 53°39′01″N   53.65036189
Longitude: 24°19′38″E   24.32720772
Distance: 96.0256 km  Bearing: 52.678°
Latitude: 53°46′13″N   53.7702632
Longitude: 22°08′23″E   22.13968739
Distance: 98.3789 km  Bearing: 316.553°
Latitude: 52°36′23″N   52.60638841
Longitude: 22°04′14″E   22.07041971
Distance: 94.1411 km  Bearing: 232.008°
Latitude: 52°53′57″N   52.89918597
Longitude: 22°26′28″E   22.44099722
Distance: 55.1837 km  Bearing: 242.242°
Latitude: 53°33′21″N   53.55583755
Longitude: 23°28′30″E   23.47507643
Distance: 51.2907 km  Bearing: 23.235°
Latitude: 52°46′58″N   52.78288999
Longitude: 23°10′26″E   23.17379458
Distance: 38.886 km  Bearing: 179.509°
Latitude: 53°37′36″N   53.62657549
Longitude: 24°05′10″E   24.0859997
Distance: 81.9927 km  Bearing: 47.547°
Latitude: 53°27′59″N   53.46652289
Longitude: 22°53′33″E   22.89238203
Distance: 41.4497 km  Bearing: 333.793°
Latitude: 53°25′50″N   53.43046109
Longitude: 21°46′55″E   21.78199318
Distance: 97.9982 km  Bearing: 290.321°
Latitude: 52°53′45″N   52.89584946
Longitude: 24°23′18″E   24.38844582
Distance: 85.7488 km  Bearing: 107.387°
Latitude: 53°14′27″N   53.24091342
Longitude: 23°18′32″E   23.30887588
Distance: 15.2493 km  Bearing: 37.68°
Latitude: 53°13′56″N   53.23230566
Longitude: 21°44′30″E   21.74161478
Distance: 95.7751 km  Bearing: 277.228°
Latitude: 52°41′57″N   52.69911828
Longitude: 22°14′13″E   22.23703331
Distance: 78.923 km  Bearing: 232.729°
Latitude: 53°49′14″N   53.82046889
Longitude: 22°16′50″E   22.28058428
Distance: 96.5019 km  Bearing: 322.817°
Latitude: 52°48′08″N   52.80229274
Longitude: 23°41′44″E   23.69544501
Distance: 50.9237 km  Bearing: 135.943°
Latitude: 52°16′50″N   52.28049199
Longitude: 23°16′12″E   23.27006223
Distance: 95.0096 km  Bearing: 175.842°
Latitude: 52°56′10″N   52.93597863
Longitude: 23°50′26″E   23.84045049
Distance: 49.9554 km  Bearing: 115.678°
Latitude: 53°19′16″N   53.32101089
Longitude: 22°57′46″E   22.96268943
Distance: 25.062 km  Bearing: 326.873°
Latitude: 52°51′25″N   52.85682432
Longitude: 22°56′38″E   22.94396044
Distance: 34.1577 km  Bearing: 206.241°
Latitude: 53°17′48″N   53.29673278
Longitude: 23°07′14″E   23.12049734
Distance: 18.5499 km  Bearing: 350.023°
Latitude: 52°48′52″N   52.81433019
Longitude: 24°15′28″E   24.25767857
Distance: 81.0602 km  Bearing: 115.449°
Latitude: 53°07′30″N   53.12486911
Longitude: 23°32′44″E   23.54543683
Distance: 25.1475 km  Bearing: 91.781°
Latitude: 53°06′07″N   53.10183458
Longitude: 23°47′31″E   23.79203374
Distance: 41.7412 km  Bearing: 94.436°
Latitude: 52°44′01″N   52.73350774
Longitude: 24°14′02″E   24.2339756
Distance: 84.0729 km  Bearing: 121.433°
Latitude: 52°48′08″N   52.80213268
Longitude: 22°53′25″E   22.89015329
Distance: 41.2148 km  Bearing: 207.045°
Latitude: 52°49′13″N   52.82036449
Longitude: 24°31′27″E   24.52402939
Distance: 97.1737 km  Bearing: 110.39°
Latitude: 53°50′43″N   53.8452152
Longitude: 23°17′51″E   23.29751373
Distance: 79.7299 km  Bearing: 6.079°
Latitude: 53°11′05″N   53.18458461
Longitude: 23°10′27″E   23.17415225
Distance: 5.8053 km  Bearing: 3.496°
Latitude: 52°23′13″N   52.38699954
Longitude: 22°43′14″E   22.72049795
Distance: 88.2383 km  Bearing: 200.177°
Latitude: 52°24′52″N   52.4144044
Longitude: 23°34′30″E   23.5750296
Distance: 84.4166 km  Bearing: 160.947°
Latitude: 53°17′17″N   53.28810558
Longitude: 23°16′05″E   23.26807861
Distance: 18.528 km  Bearing: 20.863°
Latitude: 53°51′13″N   53.85369239
Longitude: 23°26′25″E   23.4402195
Distance: 82.202 km  Bearing: 12.509°
Latitude: 53°03′05″N   53.05152084
Longitude: 24°13′26″E   24.22398882
Distance: 71.0509 km  Bearing: 96.86°
Latitude: 53°18′47″N   53.31297923
Longitude: 23°41′51″E   23.69750852
Distance: 40.5265 km  Bearing: 60.095°
Latitude: 52°46′29″N   52.77465359
Longitude: 23°47′39″E   23.79428717
Distance: 57.7977 km  Bearing: 133.271°
Latitude: 53°32′47″N   53.54638015
Longitude: 23°55′58″E   23.93273088
Distance: 68.5035 km  Bearing: 47.472°
Latitude: 52°53′05″N   52.8846545
Longitude: 22°37′30″E   22.6250341
Distance: 45.6548 km  Bearing: 233.076°
Latitude: 52°41′38″N   52.69379689
Longitude: 22°57′34″E   22.95942391
Distance: 50.7754 km  Bearing: 196.143°
Latitude: 53°04′07″N   53.06853718
Longitude: 23°08′23″E   23.13974794
Distance: 7.3736 km  Bearing: 195.289°
Latitude: 52°49′46″N   52.82953009
Longitude: 23°29′55″E   23.49868253
Distance: 40.2912 km  Bearing: 146.623°
Latitude: 53°28′41″N   53.47803138
Longitude: 24°08′21″E   24.13916224
Distance: 75.0737 km  Bearing: 58.819°
Latitude: 52°54′50″N   52.91384981
Longitude: 22°46′53″E   22.78126717
Distance: 35.5486 km  Bearing: 226.991°
Latitude: 53°43′44″N   53.72880597
Longitude: 22°43′36″E   22.72675115
Distance: 72.5078 km  Bearing: 336.346°
Latitude: 53°13′28″N   53.22435938
Longitude: 24°06′35″E   24.10960471
Distance: 63.5386 km  Bearing: 80.369°
Latitude: 53°23′07″N   53.38521782
Longitude: 23°45′03″E   23.75086699
Distance: 47.8521 km  Bearing: 53.792°
Latitude: 53°48′41″N   53.81142215
Longitude: 23°28′51″E   23.48093256
Distance: 78.2906 km  Bearing: 15.177°
Latitude: 52°49′14″N   52.82043998
Longitude: 24°01′52″E   24.03099633
Distance: 67.37 km  Bearing: 120.665°
Latitude: 53°02′55″N   53.04869552
Longitude: 24°31′02″E   24.51725645
Distance: 90.5498 km  Bearing: 95.368°
Latitude: 52°52′52″N   52.88109206
Longitude: 23°44′10″E   23.73602739
Distance: 47.1468 km  Bearing: 126.149°
Latitude: 53°27′26″N   53.45721048
Longitude: 23°18′09″E   23.30255652
Distance: 37.1955 km  Bearing: 13.773°
Latitude: 53°30′32″N   53.50883176
Longitude: 22°42′16″E   22.70439365
Distance: 52.0035 km  Bearing: 323.789°
Latitude: 53°30′36″N   53.50993538
Longitude: 23°45′41″E   23.76133764
Distance: 57.5502 km  Bearing: 42.92°
Latitude: 53°32′04″N   53.53454631
Longitude: 24°17′40″E   24.29440645
Distance: 87.1122 km  Bearing: 58.663°
Latitude: 52°31′33″N   52.52589222
Longitude: 23°10′11″E   23.16975523
Distance: 67.4695 km  Bearing: 179.947°
Latitude: 53°31′38″N   53.52718472
Longitude: 22°50′58″E   22.84945903
Distance: 48.7578 km  Bearing: 334.336°
Latitude: 52°45′55″N   52.76522485
Longitude: 24°24′32″E   24.40884621
Distance: 92.5969 km  Bearing: 115.681°
Latitude: 53°15′15″N   53.25421412
Longitude: 21°54′46″E   21.91277733
Distance: 84.7877 km  Bearing: 279.691°
Latitude: 53°04′28″N   53.07441928
Longitude: 22°51′32″E   22.85882593
Distance: 21.686 km  Bearing: 252.796°
Latitude: 52°30′25″N   52.50704424
Longitude: 23°13′39″E   23.22747102
Distance: 69.6774 km  Bearing: 176.734°
Latitude: 53°06′45″N   53.11259883
Longitude: 21°53′21″E   21.88916768
Distance: 85.4425 km  Bearing: 269.028°
Latitude: 52°45′45″N   52.76237954
Longitude: 23°25′25″E   23.42366109
Distance: 44.5676 km  Bearing: 157.367°
Latitude: 53°23′11″N   53.38651247
Longitude: 22°59′47″E   22.99627926
Distance: 30.4978 km  Bearing: 337.954°
Latitude: 53°14′11″N   53.23650567
Longitude: 23°07′20″E   23.12223725
Distance: 11.9791 km  Bearing: 344.99°
Latitude: 53°33′49″N   53.56369678
Longitude: 23°39′18″E   23.65493798
Distance: 57.8099 km  Bearing: 33.743°
Latitude: 53°01′12″N   53.02008381
Longitude: 22°20′17″E   22.33808433
Distance: 56.9007 km  Bearing: 257.64°
Latitude: 52°55′33″N   52.92588919
Longitude: 21°54′40″E   21.91114241
Distance: 87.2109 km  Bearing: 255.226°
Latitude: 52°32′39″N   52.54423644
Longitude: 22°06′15″E   22.10421529
Distance: 96.9388 km  Bearing: 227.976°
Latitude: 53°17′45″N   53.29571678
Longitude: 23°26′17″E   23.43806518
Distance: 25.5179 km  Bearing: 44.537°
Latitude: 53°09′37″N   53.16020243
Longitude: 21°41′55″E   21.69864032
Distance: 98.1245 km  Bearing: 272.388°
Latitude: 52°49′06″N   52.81844971
Longitude: 24°00′51″E   24.01406623
Distance: 66.5178 km  Bearing: 121.338°
Latitude: 53°16′09″N   53.26922839
Longitude: 22°15′01″E   22.25036404
Distance: 63.0554 km  Bearing: 284.325°
Latitude: 53°24′59″N   53.4165123
Longitude: 22°57′33″E   22.95926226
Distance: 34.5295 km  Bearing: 336.275°
Latitude: 53°12′47″N   53.21308417
Longitude: 24°24′20″E   24.40545828
Distance: 82.9295 km  Bearing: 83.3°
Latitude: 53°38′47″N   53.64649558
Longitude: 23°36′11″E   23.6030748
Distance: 64.0168 km  Bearing: 26.566°
Latitude: 52°43′09″N   52.71908395
Longitude: 23°41′51″E   23.69750621
Distance: 58.059 km  Bearing: 142.159°
Latitude: 53°43′48″N   53.72995397
Longitude: 22°27′15″E   22.45428274
Distance: 81.5975 km  Bearing: 324.815°
Latitude: 53°42′18″N   53.70512898
Longitude: 23°46′23″E   23.77308064
Distance: 75.239 km  Bearing: 31.921°
Latitude: 52°50′15″N   52.83736334
Longitude: 22°11′56″E   22.19895528
Distance: 72.7681 km  Bearing: 243.574°
Latitude: 53°09′43″N   53.16204814
Longitude: 22°13′14″E   22.22063949
Distance: 63.3386 km  Bearing: 273.355°
Latitude: 52°55′27″N   52.9242101
Longitude: 23°03′16″E   23.05453619
Distance: 24.3953 km  Bearing: 198.312°
Latitude: 52°44′11″N   52.73652044
Longitude: 21°50′12″E   21.83661477
Distance: 99.578 km  Bearing: 244.283°
Latitude: 53°12′52″N   53.21436748
Longitude: 21°44′27″E   21.7409177
Distance: 95.6304 km  Bearing: 276.036°
Latitude: 53°08′29″N   53.1413633
Longitude: 24°38′06″E   24.63502756
Distance: 97.8349 km  Bearing: 88.835°
Latitude: 53°10′45″N   53.17912632
Longitude: 23°42′56″E   23.71548329
Distance: 36.8259 km  Bearing: 81.684°
Latitude: 52°43′16″N   52.72098421
Longitude: 23°38′02″E   23.63377284
Distance: 55.3779 km  Bearing: 145.555°
Latitude: 52°29′20″N   52.48901738
Longitude: 23°56′51″E   23.94751472
Distance: 88.6724 km  Bearing: 143.506°
Latitude: 53°45′36″N   53.75988873
Longitude: 23°39′22″E   23.65602312
Distance: 76.8843 km  Bearing: 24.624°
Latitude: 53°28′42″N   53.47837813
Longitude: 22°30′12″E   22.50337201
Distance: 58.6196 km  Bearing: 311.284°
Latitude: 53°12′55″N   53.2153334
Longitude: 23°46′40″E   23.777667
Distance: 41.6217 km  Bearing: 76.966°
Latitude: 52°49′59″N   52.83299536
Longitude: 23°19′41″E   23.3281868
Distance: 34.9788 km  Bearing: 162.175°
Latitude: 53°08′19″N   53.13867793
Longitude: 23°42′58″E   23.71613807
Distance: 36.5261 km  Bearing: 88.701°
Latitude: 53°04′45″N   53.07915928
Longitude: 23°36′57″E   23.61587677
Distance: 30.4338 km  Bearing: 101.06°
Latitude: 53°17′27″N   53.29074625
Longitude: 22°07′52″E   22.13119104
Distance: 71.3224 km  Bearing: 284.703°
Latitude: 52°23′54″N   52.39826661
Longitude: 22°53′44″E   22.89564775
Distance: 83.7088 km  Bearing: 192.797°
Latitude: 53°17′48″N   53.29654943
Longitude: 21°59′55″E   21.99862183
Distance: 80.0485 km  Bearing: 283.645°
Latitude: 53°07′48″N   53.13006896
Longitude: 24°20′26″E   24.34041749
Distance: 78.1836 km  Bearing: 89.729°
Latitude: 53°00′35″N   53.00984891
Longitude: 23°28′32″E   23.47559365
Distance: 24.6231 km  Bearing: 123.518°
Latitude: 53°27′25″N   53.45682183
Longitude: 23°55′52″E   23.93107468
Distance: 62.2019 km  Bearing: 54.248°
Latitude: 53°31′47″N   53.52983312
Longitude: 22°28′14″E   22.47042542
Distance: 64.0723 km  Bearing: 313.891°
Latitude: 52°17′20″N   52.28894086
Longitude: 22°53′47″E   22.89626078
Distance: 95.6055 km  Bearing: 191.185°
Latitude: 53°03′17″N   53.05458543
Longitude: 23°28′27″E   23.47420817
Distance: 22.1605 km  Bearing: 112.895°
Latitude: 52°54′10″N   52.90273653
Longitude: 22°06′21″E   22.10570873
Distance: 75.5845 km  Bearing: 250.665°
Latitude: 53°16′04″N   53.26773957
Longitude: 22°53′53″E   22.8979639
Distance: 23.4952 km  Bearing: 309.921°
Latitude: 52°57′26″N   52.95731305
Longitude: 23°31′10″E   23.51941424
Distance: 30.4822 km  Bearing: 129.592°
Latitude: 53°30′32″N   53.50890174
Longitude: 24°21′17″E   24.35476823
Distance: 89.2233 km  Bearing: 61.541°
Latitude: 52°31′54″N   52.53158346
Longitude: 24°01′29″E   24.02473384
Distance: 88.1746 km  Bearing: 138.946°
Latitude: 53°13′37″N   53.22702276
Longitude: 23°53′39″E   23.89411999
Distance: 49.4761 km  Bearing: 77.44°
Latitude: 53°33′35″N   53.55975162
Longitude: 24°06′12″E   24.10336109
Distance: 78.1582 km  Bearing: 52.179°
Latitude: 52°19′27″N   52.32421075
Longitude: 23°22′31″E   23.37517687
Distance: 90.9696 km  Bearing: 171.13°
Latitude: 53°09′49″N   53.1634905
Longitude: 23°45′57″E   23.7658051
Distance: 39.9712 km  Bearing: 84.812°
Latitude: 52°55′25″N   52.92369459
Longitude: 21°48′08″E   21.80213871
Distance: 94.3261 km  Bearing: 256.294°
Latitude: 53°06′58″N   53.11610897
Longitude: 22°57′58″E   22.96601532
Distance: 13.6595 km  Bearing: 262.416°
Latitude: 53°03′46″N   53.06290797
Longitude: 23°31′15″E   23.52072215
Distance: 24.7423 km  Bearing: 108.087°
Latitude: 53°45′59″N   53.76630767
Longitude: 23°50′24″E   23.84007264
Distance: 83.3461 km  Bearing: 31.97°
Latitude: 52°43′51″N   52.73074787
Longitude: 23°34′31″E   23.57520571
Distance: 52.3345 km  Bearing: 148.467°
Latitude: 53°44′23″N   53.73958781
Longitude: 24°09′21″E   24.15594851
Distance: 94.0065 km  Bearing: 43.691°
Latitude: 53°00′05″N   53.00134296
Longitude: 23°34′17″E   23.57152099
Distance: 30.6115 km  Bearing: 118.297°
Latitude: 53°08′07″N   53.13520551
Longitude: 23°28′24″E   23.47339122
Distance: 20.3249 km  Bearing: 89.026°
Latitude: 52°36′19″N   52.60531131
Longitude: 22°55′22″E   22.92265919
Distance: 60.921 km  Bearing: 195.841°
Latitude: 53°05′38″N   53.09382148
Longitude: 23°12′08″E   23.20211665
Distance: 4.8407 km  Bearing: 152.668°
Latitude: 53°39′10″N   53.652668
Longitude: 24°21′17″E   24.35459525
Distance: 97.6351 km  Bearing: 53.185°
Latitude: 53°22′03″N   53.36740065
Longitude: 24°34′36″E   24.57675757
Distance: 97.2693 km  Bearing: 73.855°
Latitude: 53°46′33″N   53.77590439
Longitude: 23°43′39″E   23.72743259
Distance: 80.5614 km  Bearing: 27.113°
Latitude: 53°30′14″N   53.50375177
Longitude: 22°26′32″E   22.44214937
Distance: 63.5332 km  Bearing: 310.829°
Latitude: 53°36′13″N   53.60371591
Longitude: 24°25′58″E   24.43278034
Distance: 98.9084 km  Bearing: 57.495°
Latitude: 52°59′32″N   52.99210269
Longitude: 22°01′13″E   22.02036389
Distance: 78.3364 km  Bearing: 258.962°
Latitude: 53°11′46″N   53.19605328
Longitude: 22°19′53″E   22.33132693
Distance: 56.2931 km  Bearing: 277.55°
Latitude: 52°41′08″N   52.68569281
Longitude: 23°48′30″E   23.80827147
Distance: 65.6452 km  Bearing: 138.947°
Latitude: 53°56′16″N   53.93784967
Longitude: 22°55′22″E   22.92283899
Distance: 91.0413 km  Bearing: 349.809°
Latitude: 53°42′59″N   53.71646614
Longitude: 24°03′46″E   24.06274085
Distance: 87.9135 km  Bearing: 42.01°
Latitude: 53°09′47″N   53.16317754
Longitude: 22°01′38″E   22.02719959
Distance: 76.2325 km  Bearing: 273.023°
Latitude: 53°42′16″N   53.70436544
Longitude: 22°44′37″E   22.74368822
Distance: 69.5711 km  Bearing: 336.274°
Latitude: 53°14′10″N   53.23612457
Longitude: 23°14′16″E   23.23784998
Distance: 12.4108 km  Bearing: 21.726°
Latitude: 53°46′04″N   53.76772015
Longitude: 22°28′17″E   22.47131079
Distance: 84.4191 km  Bearing: 327.098°
Latitude: 53°12′49″N   53.21367167
Longitude: 23°30′36″E   23.50988914
Distance: 24.4647 km  Bearing: 68.204°
Latitude: 53°40′54″N   53.68158531
Longitude: 23°30′09″E   23.50261694
Distance: 64.9599 km  Bearing: 19.785°
Latitude: 53°25′37″N   53.42707977
Longitude: 24°33′42″E   24.56153662
Distance: 98.2418 km  Bearing: 69.96°
Latitude: 53°17′32″N   53.29214064
Longitude: 22°24′01″E   22.40039791
Distance: 54.1769 km  Bearing: 289.441°
Latitude: 52°31′23″N   52.52292603
Longitude: 23°08′18″E   23.138205
Distance: 67.8306 km  Bearing: 181.752°
Latitude: 53°14′40″N   53.24450097
Longitude: 24°13′57″E   24.23259551
Distance: 71.9797 km  Bearing: 79.607°
Latitude: 52°58′10″N   52.9695618
Longitude: 24°19′54″E   24.3317983
Distance: 79.8365 km  Bearing: 102.654°
Latitude: 53°09′43″N   53.16206581
Longitude: 21°45′15″E   21.75419474
Distance: 94.4255 km  Bearing: 272.562°
Latitude: 52°39′37″N   52.66015528
Longitude: 22°26′13″E   22.43682984
Distance: 71.9191 km  Bearing: 223.366°
Latitude: 52°57′21″N   52.95577236
Longitude: 24°11′22″E   24.1894628
Distance: 71.0215 km  Bearing: 105.658°
Latitude: 52°39′41″N   52.66129743
Longitude: 23°53′31″E   23.8920544
Distance: 71.4236 km  Bearing: 136.914°
Latitude: 53°48′27″N   53.80737066
Longitude: 23°32′33″E   23.54251982
Distance: 79.0362 km  Bearing: 18.091°
Latitude: 52°21′43″N   52.361827
Longitude: 23°33′13″E   23.55354119
Distance: 89.5454 km  Bearing: 163.033°
Latitude: 53°34′19″N   53.57181571
Longitude: 23°51′08″E   23.85222193
Distance: 66.6792 km  Bearing: 42.602°
Latitude: 52°17′26″N   52.29057199
Longitude: 23°19′49″E   23.33014454
Distance: 94.2719 km  Bearing: 173.315°
Latitude: 53°49′18″N   53.82157263
Longitude: 22°22′27″E   22.37424344
Distance: 92.9556 km  Bearing: 325.858°
Latitude: 52°57′06″N   52.95162535
Longitude: 22°28′05″E   22.46813672
Distance: 50.9932 km  Bearing: 247.046°
Latitude: 53°17′54″N   53.29830474
Longitude: 22°04′18″E   22.07158208
Distance: 75.3714 km  Bearing: 284.603°
Latitude: 53°36′27″N   53.60744373
Longitude: 23°56′50″E   23.94735007
Distance: 73.8904 km  Bearing: 44.05°
Latitude: 53°24′59″N   53.41626687
Longitude: 22°48′00″E   22.80006603
Distance: 39.9733 km  Bearing: 322.297°
Latitude: 52°39′51″N   52.66419129
Longitude: 21°55′20″E   21.92229264
Distance: 98.5283 km  Bearing: 238.585°
Latitude: 53°08′13″N   53.13692884
Longitude: 22°06′39″E   22.11089283
Distance: 70.5965 km  Bearing: 270.824°
Latitude: 53°41′39″N   53.69422715
Longitude: 24°07′32″E   24.1254739
Distance: 89.0258 km  Bearing: 45.044°
Latitude: 53°59′00″N   53.98321555
Longitude: 23°38′45″E   23.64574593
Distance: 99.7309 km  Bearing: 18.226°
Latitude: 53°00′01″N   53.00024846
Longitude: 23°11′44″E   23.19551991
Distance: 14.8163 km  Bearing: 173.077°
Latitude: 52°37′00″N   52.61671138
Longitude: 21°58′30″E   21.97503293
Distance: 98.5571 km  Bearing: 234.881°
Latitude: 53°16′45″N   53.27917222
Longitude: 22°06′48″E   22.11338579
Distance: 72.1797 km  Bearing: 283.486°
Latitude: 53°38′28″N   53.64115338
Longitude: 23°41′57″E   23.69902781
Distance: 66.6173 km  Bearing: 31.654°
Latitude: 53°32′03″N   53.53424357
Longitude: 22°33′45″E   22.56258282
Distance: 60.1517 km  Bearing: 318.22°
Latitude: 53°30′28″N   53.50783225
Longitude: 22°55′09″E   22.91916433
Distance: 44.923 km  Bearing: 338.43°
Latitude: 53°34′37″N   53.57695821
Longitude: 24°07′14″E   24.12048356
Distance: 80.2186 km  Bearing: 51.575°
Latitude: 53°43′00″N   53.71654767
Longitude: 23°51′20″E   23.85547079
Distance: 79.316 km  Bearing: 34.737°
Latitude: 53°34′58″N   53.58276491
Longitude: 22°53′05″E   22.88483031
Distance: 53.5135 km  Bearing: 339.485°
Latitude: 52°31′44″N   52.52887525
Longitude: 23°56′37″E   23.94348912
Distance: 84.9538 km  Bearing: 141.902°
Latitude: 53°34′59″N   53.58297443
Longitude: 23°09′02″E   23.15065002
Distance: 50.1204 km  Bearing: 358.627°
Latitude: 52°17′51″N   52.29757178
Longitude: 22°55′17″E   22.92150258
Distance: 94.348 km  Bearing: 190.272°
Latitude: 53°49′59″N   53.83311977
Longitude: 22°22′04″E   22.36789072
Distance: 94.2492 km  Bearing: 326.095°
Latitude: 53°30′50″N   53.51390252
Longitude: 22°28′27″E   22.47412248
Distance: 62.6885 km  Bearing: 312.866°
Latitude: 52°28′02″N   52.46716868
Longitude: 22°10′16″E   22.17110995
Distance: 99.8875 km  Bearing: 222.596°
Latitude: 52°47′33″N   52.79257677
Longitude: 24°19′59″E   24.33344108
Distance: 86.6993 km  Bearing: 115.387°
Latitude: 53°30′14″N   53.50382148
Longitude: 23°29′12″E   23.48678463
Distance: 46.391 km  Bearing: 26.962°
Latitude: 53°07′05″N   53.11798185
Longitude: 21°52′18″E   21.87177841
Distance: 86.5841 km  Bearing: 269.451°
Latitude: 53°05′17″N   53.08812062
Longitude: 22°22′34″E   22.37602866
Distance: 53.1625 km  Bearing: 264.991°
Latitude: 53°04′04″N   53.06777386
Longitude: 23°16′53″E   23.28143732
Distance: 10.4093 km  Bearing: 133.704°
Latitude: 53°09′25″N   53.15702628
Longitude: 24°21′21″E   24.35594233
Distance: 79.2413 km  Bearing: 87.551°
Latitude: 53°31′13″N   53.52040568
Longitude: 23°57′04″E   23.95111763
Distance: 67.5434 km  Bearing: 49.985°
Latitude: 53°37′26″N   53.62393308
Longitude: 22°27′44″E   22.46221007
Distance: 72.0136 km  Bearing: 319.662°
Latitude: 52°20′02″N   52.33380465
Longitude: 23°05′33″E   23.09259894
Distance: 88.9829 km  Bearing: 183.339°
Latitude: 53°18′30″N   53.30826225
Longitude: 24°28′29″E   24.47467224
Distance: 89.1317 km  Bearing: 76.807°
Latitude: 53°17′15″N   53.28753882
Longitude: 23°27′51″E   23.46420195
Distance: 26.1629 km  Bearing: 48.646°
Latitude: 53°32′55″N   53.54873709
Longitude: 22°03′27″E   22.05752185
Distance: 87.1194 km  Bearing: 302.546°
Latitude: 53°08′29″N   53.14143559
Longitude: 24°05′49″E   24.09700857
Distance: 61.9397 km  Bearing: 88.708°
Latitude: 52°19′22″N   52.32273021
Longitude: 23°15′38″E   23.26045668
Distance: 90.2776 km  Bearing: 176.044°
Latitude: 52°41′09″N   52.685967
Longitude: 23°06′17″E   23.10485838
Distance: 49.85 km  Bearing: 184.964°
Latitude: 53°12′27″N   53.20751673
Longitude: 23°06′44″E   23.11222206
Distance: 9.1592 km  Bearing: 335.683°
Latitude: 53°37′53″N   53.63134647
Longitude: 23°06′41″E   23.11140865
